Wavelength (A)	Transmission
31.65	0.00E+00
31.70	0.00E+00
31.75	0.00E+00
31.80	0.00E+00
31.85	0.00E+00
31.90	0.00E+00
31.95	0.00E+00
32.00	0.00E+00
32.05	0.00E+00
32.10	0.00E+00
32.15	0.00E+00
32.20	0.00E+00
32.25	0.00E+00
32.30	0.00E+00
32.35	0.00E+00
32.40	0.00E+00
32.45	0.00E+00
32.50	0.00E+00
32.55	0.00E+00
32.60	0.00E+00
32.65	0.00E+00
32.70	0.00E+00
32.75	0.00E+00
32.80	0.00E+00
32.85	0.00E+00
32.90	0.00E+00
32.95	0.00E+00
33.00	0.00E+00
33.05	0.00E+00
33.10	0.00E+00
33.15	0.00E+00
33.20	0.00E+00
33.25	0.00E+00
33.30	0.00E+00
33.35	0.00E+00
33.40	0.00E+00
33.45	0.00E+00
33.50	0.00E+00
33.55	0.00E+00
33.60	0.00E+00
33.65	0.00E+00
33.70	0.00E+00
33.75	0.00E+00
33.80	0.00E+00
33.85	0.00E+00
33.90	2.87E-178
33.95	6.18E-177
34.00	1.67E-06
34.05	1.76E-05
34.10	4.82E-05
34.15	1.02E-04
34.20	2.02E-04
34.25	4.87E-04
34.30	2.29E-03
34.35	1.06E-02
34.40	3.39E-02
34.45	7.70E-02
34.50	1.39E-01
34.55	2.16E-01
34.60	3.08E-01
34.65	4.12E-01
34.70	5.17E-01
34.75	6.12E-01
34.80	6.96E-01
34.85	7.77E-01
34.90	8.55E-01
34.95	9.24E-01
35.00	9.71E-01
35.05	9.93E-01
35.10	9.98E-01
35.15	9.98E-01
35.20	9.98E-01
35.25	9.98E-01
35.30	9.95E-01
35.35	9.83E-01
35.40	9.45E-01
35.45	8.75E-01
35.50	7.87E-01
35.55	6.97E-01
35.60	6.08E-01
35.65	5.20E-01
35.70	4.32E-01
35.75	3.43E-01
35.80	2.55E-01
35.85	1.66E-01
35.90	8.46E-02
35.95	2.94E-02
36.00	5.75E-03
36.05	3.33E-04
36.10	2.91E-06
36.15	1.78E-181
36.20	9.98E-182
36.25	5.61E-182
36.30	3.16E-182
36.35	1.78E-182
36.40	9.98E-183
36.45	5.61E-183
36.50	3.16E-183
36.55	1.78E-183
36.60	9.99E-184
36.65	5.62E-184
36.70	3.16E-184
36.75	1.78E-184
36.80	9.99E-185
36.85	5.62E-185
36.90	3.16E-185
36.95	1.78E-185
37.00	9.99E-186
37.05	5.62E-186
37.10	3.16E-186
37.15	1.78E-186
37.20	9.98E-187
37.25	5.61E-187
37.30	3.15E-187
37.35	1.74E-187
37.40	9.36E-188
37.45	4.83E-188
37.50	2.42E-188
37.55	1.19E-188
37.60	5.68E-189
37.65	2.58E-189
37.70	1.10E-189
37.75	4.35E-190
37.80	1.55E-190
37.85	4.54E-191
37.90	9.64E-192
37.95	1.33E-192
38.00	8.16E-194
38.05	4.17E-196
38.10	0.00E+00
38.15	0.00E+00
38.20	0.00E+00
38.25	0.00E+00
38.30	0.00E+00
38.35	0.00E+00
38.40	0.00E+00
38.45	0.00E+00
38.50	0.00E+00
38.55	0.00E+00
38.60	0.00E+00
38.65	0.00E+00
38.70	0.00E+00
38.75	0.00E+00
38.80	0.00E+00
38.85	0.00E+00
38.90	0.00E+00
38.95	0.00E+00
39.00	0.00E+00
39.05	0.00E+00
39.10	0.00E+00
39.15	0.00E+00
39.20	0.00E+00
39.25	0.00E+00
39.30	0.00E+00
39.35	0.00E+00
39.40	0.00E+00
39.45	0.00E+00
39.50	0.00E+00
39.55	0.00E+00
39.60	0.00E+00
39.65	0.00E+00
39.70	0.00E+00
39.75	0.00E+00
39.80	0.00E+00
39.85	0.00E+00
39.90	0.00E+00
39.95	0.00E+00
40.00	0.00E+00
40.05	0.00E+00
40.10	0.00E+00
40.15	0.00E+00
40.20	0.00E+00
40.25	0.00E+00
40.30	0.00E+00
40.35	0.00E+00
40.40	4.65E-209
40.45	1.85E-207
40.50	3.94E-207
40.55	7.17E-207
40.60	3.12E-206
40.65	9.91E-206
40.70	1.85E-205
40.75	2.35E-205
40.80	2.25E-205
40.85	1.79E-205
40.90	1.30E-205
40.95	8.93E-206
41.00	5.94E-206
41.05	3.86E-206
41.10	2.46E-206
