,formula,thickness,density,height,transmission,mu_per_cm,transmission (2.53 Å),mu_per_cm (2.53 Å)
116,Ni8806Co482Cr3827Al286Mo501Ti361Nb469Fe2397,2.0128392231420364,8.22884,7.5367,71.35393366298955,1.6768239995399001,72.790216,1.5778142226679697
117,Ni8856Co640Cr3916Al317Mo538Ti362Nb338Fe2246,2.0208347573228083,8.22884,7.6017,70.60115974846698,1.7226723428535018,72.117229,1.6175355717777122
118,Ni8886Co662Cr3891Al319Mo542Ti345Nb304Fe2232,1.9820908113839482,8.22884,7.6667,70.91889299446244,1.733691070789603,72.429045,1.627386551410512
119,Ni8836Co668Cr3995Al359Mo555Ti383Nb333Fe2203,2.056728789046245,8.22884,7.7317,70.17068805424293,1.72234430288374,71.713667,1.6165906008108897
120,Ni8816Co710Cr3986Al324Mo586Ti414Nb347Fe2090,2.061114250246958,8.22884,7.7966,70.01380566538144,1.729538959574471,71.578336,1.6223153451940688
121,Ni8954Co712Cr4104Al335Mo532Ti339Nb271Fe2197,2.074659332302389,8.22884,7.8616,69.68171827249733,1.7411639040901785,71.252461,1.6337179883350437
122,Ni8870Co726Cr4028Al320Mo563Ti375Nb307Fe2123,2.0933856402301276,8.22884,7.9266,69.4771653772062,1.7396318964298425,71.062642,1.6318465631626036
123,Ni8824Co708Cr3993Al331Mo577Ti389Nb340Fe2121,2.053635433052874,8.22884,7.9915,70.09306332789595,1.730328300133326,71.65258,1.6231752657900973
124,Ni8803Co712Cr3927Al327Mo573Ti402Nb360Fe2105,2.0967806595097835,8.22884,8.0565,69.5468912537818,1.7320312688648476,71.126837,1.6248979813976754
125,Ni8949Co738Cr4064Al326Mo545Ti346Nb275Fe2164,2.109472537304583,8.22884,8.1215,69.16830950052409,1.74748605129381,70.7648,1.6393125672262303
126,Ni8731Co724Cr3789Al331Mo615Ti442Nb459Fe1989,2.1207725861699775,8.22884,8.1865,69.37125169976612,1.724360486922817,70.963143,1.617380187981049
127,Ni8886Co751Cr3868Al330Mo559Ti372Nb292Fe2107,2.0811844096655476,8.22884,8.2514,69.39380315698835,1.7555994194999551,70.987147,1.6465208556815738
128,Ni8879Co747Cr3814Al338Mo576Ti402Nb346Fe2071,2.1286587251783367,8.22884,8.3164,68.9244541602718,1.748326981851327,70.5332,1.639937209774036
129,Ni8870Co753Cr3892Al339Mo579Ti375Nb282Fe2086,2.0876052759274475,8.22884,8.3814,69.34750507593483,1.7533966786199582,70.944471,1.6443372580790345
130,Ni8734Co776Cr3642Al340Mo625Ti453Nb382Fe1956,2.1297265298736177,8.22884,8.4464,68.86480842327303,1.7515154941605922,70.489651,1.642014955282561
131,Ni8877Co793Cr3996Al351Mo595Ti400Nb297Fe2023,2.083515128601571,8.22884,8.5113,69.38429872593841,1.7542929359941644,70.994845,1.644158530523459
132,Ni8858Co781Cr3965Al349Mo611Ti412Nb329Fe2004,2.1227623641488216,8.22884,8.5763,69.01444083037597,1.7470368900210584,70.634775,1.6377132216521795
