,formula,thickness,density,height,transmission,mu_per_cm
139,Ni8910Co824Cr3974Al347Mo590Ti380Nb257Fe2017,2.1068183124351396,8.22884,9.0311,82.94819568485951,0.8873756238252682
140,Ni8868Co816Cr3995Al350Mo599Ti380Nb264Fe2009,2.0876591261038566,8.22884,9.0961,83.13709674290386,0.8846232153702598
141,Ni8822Co810Cr4032Al342Mo602Ti441Nb328Fe1972,2.0898865477806265,8.22884,9.161,83.2251365577977,0.8786159320308539
142,Ni8888Co823Cr4042Al350Mo589Ti386Nb276Fe2006,2.1284703808910086,8.22884,9.226,82.84379942740728,0.8842654685477412
143,Ni8884Co812Cr3956Al340Mo615Ti398Nb319Fe1989,2.129785428192059,8.22884,9.291,82.88887964505743,0.8811651735293371
144,Ni8821Co842Cr3870Al355Mo642Ti447Nb302Fe1913,2.0840121350719634,8.22884,9.356,83.145312114771,0.8856971487256136
145,Ni8975Co878Cr3685Al351Mo575Ti328Nb196Fe2002,2.105978325219578,8.22884,9.4209,82.61736915141879,0.9067056626213342
146,Ni8845Co817Cr3795Al353Mo607Ti388Nb275Fe1996,2.063230261797823,8.22884,9.4859,83.25317869837768,0.8883345629763667
147,Ni8755Co810Cr3752Al349Mo634Ti453Nb360Fe1923,2.1017349178747184,8.22884,9.5509,83.09486099986282,0.881116479632358
148,Ni8834Co823Cr3691Al345Mo606Ti400Nb304Fe1986,2.0481484471119162,8.22884,9.6158,83.33704871940976,0.8899597751907605
149,Ni8873Co818Cr3982Al339Mo593Ti371Nb239Fe2045,2.1034205529125853,8.22884,9.6808,82.97975368218543,0.8870006486777865
150,Ni8713Co800Cr3850Al340Mo653Ti462Nb421Fe1905,2.056394671315077,8.22884,9.7458,83.57248062623555,0.872672457792472
151,Ni8938Co838Cr3877Al348Mo575Ti402Nb246Fe1998,2.0511410703241157,8.22884,9.8108,83.25720918324318,0.8933342846679777
152,Ni8845Co837Cr4056Al357Mo610Ti413Nb297Fe1958,2.0877310605795842,8.22884,9.8757,83.16842162999495,0.8827883121719492
153,Ni8787Co822Cr4003Al342Mo621Ti437Nb350Fe1922,2.111488947425701,8.22884,9.9407,83.07185857514737,0.8783573648877492
154,Ni8905Co846Cr3952Al348Mo598Ti375Nb248Fe1995,2.097037864681655,8.22884,10.0057,82.96220766729826,0.8907088152334154
155,Ni8841Co833Cr4007Al356Mo618Ti425Nb304Fe1939,2.01043590313644,8.22884,10.0707,83.73739434655934,0.8828162171176303
156,Ni8769Co808Cr3958Al347Mo635Ti456Nb345Fe1930,2.0829375629001556,8.22884,10.1356,83.30623003476713,0.8768714556393457
157,Ni8888Co826Cr4086Al343Mo615Ti403Nb273Fe1996,2.101613353225024,8.22884,10.2006,83.0745384180792,0.8823313179163398
158,Ni8866Co816Cr4083Al343Mo603Ti407Nb305Fe1983,2.1012746441673085,8.22884,10.2656,83.11897483681945,0.8799286343573498
159,Ni8835Co844Cr4188Al348Mo616Ti431Nb310Fe1931,2.1005846114010334,8.22884,10.3305,83.13201403099933,0.8794709351331405
160,Ni8901Co823Cr3832Al354Mo590Ti402Nb266Fe1983,2.1005263594542125,8.22884,10.3955,82.94528640793418,0.8902006614774174
161,Ni8859Co833Cr3609Al354Mo625Ti437Nb306Fe1936,2.1000481719896302,8.22884,10.4605,82.9152508768653,0.8921279812245982
162,Ni8827Co824Cr3502Al352Mo592Ti428Nb300Fe1957,2.0996638311188374,8.22884,10.5255,82.85389924971722,0.8958166372525795
163,Ni8782Co826Cr3601Al344Mo649Ti439Nb356Fe1900,2.099308234991458,8.22884,10.5904,83.0147111752271,0.8867318658563902
164,Ni8899Co829Cr3582Al344Mo597Ti390Nb272Fe1960,2.0975902089936747,8.22884,10.6554,82.85024068173928,0.8969127348279908
165,Ni8775Co823Cr3659Al338Mo624Ti404Nb320Fe1952,2.096382291736791,8.22884,10.7204,83.00578631161575,0.8884823476988646
166,Ni8841Co817Cr3656Al344Mo613Ti455Nb359Fe1913,2.0586492231474454,8.22884,10.7853,83.3147594626799,0.8867196316504153
167,Ni8899Co837Cr3790Al349Mo597Ti370Nb237Fe1996,2.064520701635916,8.24296,10.8503,83.11191369056313,0.8960052013295078
168,Ni8793Co919Cr3970Al361Mo656Ti458Nb303Fe1799,2.057806905212242,8.24296,10.9153,83.20672221927352,0.8933882234254167
169,Ni8939Co1022Cr3998Al381Mo668Ti416Nb198Fe1729,2.111005559487456,8.24296,10.9803,82.48606705446662,0.9120809286027083
170,Ni8805Co970Cr3936Al370Mo671Ti480Nb280Fe1720,2.068748171434239,8.24296,11.0452,82.9919475006944,0.9011565715740344
171,Ni8873Co994Cr4172Al378Mo638Ti417Nb214Fe1764,2.106121451446379,8.24296,11.1102,82.65538324504483,0.9044598576207814
172,Ni8801Co1037Cr3995Al386Mo718Ti491Nb258Fe1618,2.1447133463876,8.24296,11.1752,82.33494318940315,0.9062963385714896
173,Ni8857Co1053Cr3955Al386Mo687Ti451Nb205Fe1659,2.1405757260596596,8.24296,11.2401,82.21686935047103,0.9147524161645496
174,Ni8837Co1015Cr3911Al376Mo693Ti453Nb241Fe1701,2.141733533549934,8.24296,11.3051,82.31911525791296,0.9084549458090946
175,Ni8855Co1039Cr4036Al386Mo710Ti484Nb234Fe1633,2.140921514701068,8.24296,11.3701,82.33608529026768,0.9078367080439229
176,Ni8838Co1053Cr4048Al395Mo682Ti474Nb225Fe1646,2.086439218889886,8.24296,11.4351,82.68787445965918,0.9111083313112575
177,Ni8881Co1085Cr4042Al393Mo697Ti449Nb199Fe1606,2.162757034184555,8.24296,11.5,82.01921479646273,0.9164998021272236
178,Ni8842Co1102Cr4035Al405Mo729Ti482Nb216Fe1559,2.136274720149147,8.24296,11.565,82.24020558246663,0.9152656381380927
179,Ni8795Co1095Cr3989Al404Mo707Ti474Nb221Fe1558,2.174043217928592,8.24296,11.63,81.93631176390505,0.916393587135699
180,Ni8923Co1117Cr4015Al410Mo686Ti445Nb168Fe1585,2.1739930255404114,8.24296,11.695,81.8062328962986,0.9237230577408658
181,Ni8755Co1099Cr4024Al415Mo750Ti529Nb226Fe1509,2.1797697702931824,8.24296,11.7599,81.96313400887372,0.9124845558734238
182,Ni8666Co1106Cr4004Al410Mo758Ti699Nb245Fe1467,2.138268960959735,8.24296,11.8249,82.3069824056423,0.9106162253866051
183,Ni8898Co1145Cr3996Al406Mo720Ti467Nb187Fe1522,2.1455698020466225,8.24296,11.8899,82.00803582606693,0.924476777484686
184,Ni8883Co1134Cr4008Al401Mo713Ti436Nb190Fe1557,2.1488011821617157,8.24296,11.9548,82.00940199498264,0.9230090176220611
185,Ni8854Co1140Cr3968Al410Mo735Ti490Nb204Fe1508,2.175563687104523,8.24296,12.0198,81.82307556173296,0.9221099157830533
