,formula,thickness,density,transmission,mu_per_cm,height_mm,height
129,Ni8870Co753Cr3892Al339Mo579Ti375Nb282Fe2086,3.117100323694203,8.21,76.10245141435608,0.8761017619387723,8.3814,8.3814
130,Ni8734Co776Cr3642Al340Mo625Ti453Nb382Fe1956,3.1170983068724962,8.21,76.12160196016713,0.8752951358192501,8.4464,8.4464
131,Ni8877Co793Cr3996Al351Mo595Ti400Nb297Fe2023,3.117080194003127,8.21,76.09151368302688,0.8765685374381695,8.5113,8.5113
132,Ni8858Co781Cr3965Al349Mo611Ti412Nb329Fe2004,3.1171749057935894,8.21,76.1747221861225,0.8730357339433119,8.5763,8.5763
133,Ni8768Co760Cr3875Al327Mo602Ti420Nb370Fe2005,3.1182618703514757,8.21,76.23297412531103,0.8702799728709022,8.6413,8.6413
134,Ni8842Co788Cr3951Al331Mo586Ti404Nb328Fe2012,3.1140608436172474,8.21,76.12860223152032,0.8758536034462199,8.7062,8.7062
135,Ni8785Co793Cr4027Al338Mo600Ti414Nb307Fe1983,3.1473247229938024,8.21,75.93946577986142,0.8745003779383891,8.7712,8.7712
136,Ni8919Co825Cr4044Al358Mo607Ti396Nb257Fe1975,3.116461106522177,8.21,75.97848444639192,0.8815126381542161,8.8362,8.8362
137,Ni8807Co818Cr3981Al347Mo620Ti412Nb323Fe1972,3.1166936768056988,8.21,76.09573519543909,0.87649924287945,8.9012,8.9012
138,Ni8776Co815Cr4005Al347Mo628Ti445Nb329Fe1945,3.1171038609075445,8.21,76.14085343136145,0.8744823353585753,8.9661,8.9661
139,Ni8910Co824Cr3974Al347Mo590Ti380Nb257Fe2017,3.1171075038876914,8.21,75.9170465988259,0.8839250285405963,9.0311,9.0311
140,Ni8868Co816Cr3995Al350Mo599Ti380Nb264Fe2009,3.1171000765196717,8.21,75.98251194002998,0.8811618860153192,9.0961,9.0961
141,Ni8822Co810Cr4032Al342Mo602Ti441Nb328Fe1972,3.117099863138738,8.21,76.12418521613712,0.875185830513965,9.161,9.161
142,Ni8888Co823Cr4042Al350Mo589Ti386Nb276Fe2006,3.11709999525109,8.21,75.98967264164176,0.8808595863066276,9.226,9.226
143,Ni8884Co812Cr3956Al340Mo615Ti398Nb319Fe1989,3.1171000327247778,8.21,76.06253108684474,0.8777851325481019,9.291,9.291
144,Ni8821Co842Cr3870Al355Mo642Ti447Nb302Fe1913,3.1171000852841817,8.21,75.95786328987711,0.8822027600259381,9.356,9.356
145,Ni8975Co878Cr3685Al351Mo575Ti328Nb196Fe2002,3.117098417501077,8.21,75.46397588458021,0.9031308816620022,9.4209,9.4209
146,Ni8845Co817Cr3795Al353Mo607Ti388Nb275Fe1996,3.117093650801114,8.21,75.89594378619458,0.8848208474448214,9.4859,9.4859
147,Ni8755Co810Cr3752Al349Mo634Ti453Nb360Fe1923,3.1171809382105287,8.21,76.06422359638894,0.8776909671126669,9.5509,9.5509
148,Ni8834Co823Cr3691Al345Mo606Ti400Nb304Fe1986,3.1175330502885745,8.21,75.85533291899063,0.8864129728649347,9.6158,9.6158
149,Ni8873Co818Cr3982Al339Mo593Ti371Nb239Fe2045,3.1130510389570123,8.21,75.9530177526233,0.8835551389355077,9.6808,9.6808
150,Ni8713Co800Cr3850Al340Mo653Ti462Nb421Fe1905,3.166006936386372,8.21,75.94367758790985,0.8691648828925743,9.7458,9.7458
