,formula,thickness,density,transmission,mu_per_cm,height_mm
279,Ni8911Co1709Cr3951Al517Mo930Ti602Nb32Fe673,3.306191760537621,8.24,52.262044017839614,1.9626805133709722,18.127
280,Ni8877Co1728Cr4030Al526Mo950Ti653Nb26Fe641,3.3740584055617044,8.24,51.642682499799385,1.9585365626974522,18.1919
281,Ni8968Co1741Cr4059Al523Mo928Ti602Nb23Fe637,3.371550218170043,8.24,51.553702526142786,1.9651083663361713,18.2569
282,Ni8784Co1707Cr4037Al514Mo1014Ti699Nb36Fe620,3.371179682223795,8.24,51.94071342127631,1.9431395123001451,18.3219
283,Ni8898Co1732Cr4059Al519Mo938Ti618Nb24Fe629,3.305022747884337,8.24,52.288167206109335,1.9618627114729297,18.3868
284,Ni8822Co1742Cr3936Al522Mo942Ti654Nb21Fe593,3.243020312893108,8.24,52.769865131318724,1.9710943277649602,18.4518
285,Ni8872Co1745Cr3983Al530Mo959Ti628Nb18Fe601,3.2458825237145987,8.24,52.80327743847526,1.9674061517577606,18.5168
286,Ni8988Co1771Cr4013Al524Mo908Ti580Nb16Fe605,3.245183818360098,8.24,52.58833377263122,1.9803990103814386,18.5817
287,Ni8924Co1756Cr4040Al519Mo940Ti628Nb17Fe600,3.245948027792591,8.24,52.759174575843396,1.9699406696343855,18.6467
288,Ni8885Co1739Cr4034Al529Mo955Ti643Nb20Fe584,3.2497526081585897,8.24,52.82613557642667,1.9637314057817408,18.7117
289,Ni8860Co1748Cr3980Al524Mo972Ti683Nb26Fe560,3.1571086485734887,8.24,53.753826674959114,1.9662146497309916,18.7766
290,Ni8881Co1756Cr3944Al529Mo968Ti672Nb16Fe566,2.9570108802655053,8.24,55.7857072736509,1.9737921674730714,18.8416
291,Ni8837Co1748Cr4001Al536Mo971Ti688Nb16Fe560,2.761208168742023,8.24,58.05479987915842,1.9693654472033142,18.9066
292,Ni8838Co1754Cr4051Al530Mo979Ti670Nb17Fe560,2.5665855382031704,8.24,60.32947530239509,1.9689559657260385,18.9715
293,Ni8839Co1759Cr4077Al533Mo993Ti692Nb13Fe551,2.371601401412944,8.24,62.69622104822488,1.9685812727663166,19.0365
294,Ni8777Co1750Cr4047Al531Mo994Ti684Nb19Fe548,2.176600287100297,8.24,65.14033525669652,1.9692464527520668,19.1015
295,Ni8901Co1774Cr4083Al532Mo984Ti654Nb8Fe553,1.981899979975721,8.24,67.56420636783234,1.978363382264475,19.1664
296,Ni8858Co1752Cr4060Al541Mo1012Ti680Nb16Fe541,1.7868999947721116,8.24,70.31278462328115,1.971103848298518,19.2314
297,Ni8900Co1774Cr4085Al535Mo974Ti637Nb14Fe554,1.5918999994783403,8.24,72.93151766936944,1.9828462803304583,19.2964
298,Ni8911Co1781Cr4100Al527Mo972Ti647Nb13Fe544,1.397199980811915,8.24,75.76581472990203,1.9862796442041057,19.3613
299,Ni8886Co1776Cr4143Al532Mo1007Ti677Nb12Fe538,1.20220002387054,8.24,78.82655978544969,1.9790399939692191,19.4263
300,Ni8882Co1755Cr4019Al524Mo986Ti668Nb14Fe559,1.0072010791059878,8.24,81.86762797616258,1.9863614150403996,19.4913
301,Ni8791Co1752Cr4149Al530Mo993Ti711Nb13Fe547,0.8124997567896004,8.24,85.15634057025629,1.9776168149097233,19.5562
